name;essround;edition;proddate;idno;cntry;dweight;pspwght;pweight;anweight;prob;stratum;psu;trstprl;trstlgl;trstplc;trstplt;trstprt;rlgdnase;gndr;agea;edlvdse
ESS10SCe03_1;10;03.янв;02.11.2023;10896;SE;1;1.6068177;0.3734804;0.60011494;0.00072224496;2557;24819;6;3;5;4;5;6666;1;24;5
ESS10SCe03_1;10;03.янв;02.11.2023;10910;SE;1;1.4518075;0.3734804;0.54222167;0.00072224496;2557;24650;3;3;3;1;1;6666;1;45;4
ESS10SCe03_1;10;03.янв;02.11.2023;10923;SE;1;0.58686215;0.3734804;0.21918152;0.00072224496;2560;25481;8;8;8;5;7;6666;1;56;16
ESS10SCe03_1;10;03.янв;02.11.2023;10961;SE;1;0.58975434;0.3734804;0.2202617;0.00072224496;2562;26317;5;8;7;6;5;6666;2;61;8
ESS10SCe03_1;10;03.янв;02.11.2023;10973;SE;1;1.2022922;0.3734804;0.44903257;0.00072224496;2557;24754;3;8;9;7;8;4;2;33;13
ESS10SCe03_1;10;03.янв;02.11.2023;11028;SE;1;2.612795;0.3734804;0.9758278;0.00072224496;2561;26079;0;3;2;2;4;2;1;17;3
ESS10SCe03_1;10;03.янв;02.11.2023;11033;SE;1;1.2537752;0.3734804;0.4682605;0.00072224496;2560;25599;2;3;0;0;1;6666;2;29;14
ESS10SCe03_1;10;03.янв;02.11.2023;11042;SE;1;1.1907345;0.3734804;0.444716;0.00072224496;2563;26448;7;7;8;5;5;6666;2;47;10
ESS10SCe03_1;10;03.янв;02.11.2023;11060;SE;1;0.85177803;0.3734804;0.31812242;0.00072224496;2560;25470;1;1;6;0;0;2;2;59;13
ESS10SCe03_1;10;03.янв;02.11.2023;11082;SE;1;1.1564288;0.3734804;0.4319035;0.00072224496;2557;24628;8;8;8;8;9;6666;1;48;13
ESS10SCe03_1;10;03.янв;02.11.2023;11101;SE;1;0.49273452;0.3734804;0.18402669;0.00072224496;2561;25759;4;6;7;4;7;3;1;78;2
ESS10SCe03_1;10;03.янв;02.11.2023;11112;SE;1;2.5748858;0.3734804;0.96166945;0.00072224496;2557;24847;5;7;7;10;10;7;1;17;3
ESS10SCe03_1;10;03.янв;02.11.2023;11117;SE;1;1.1564288;0.3734804;0.4319035;0.00072224496;2557;24630;6;8;5;3;5;6666;1;48;12
ESS10SCe03_1;10;03.янв;02.11.2023;11122;SE;1;0.69952786;0.3734804;0.26125994;0.00072224496;2558;26242;6;9;9;6;6;6666;1;75;7
ESS10SCe03_1;10;03.янв;02.11.2023;11126;SE;1;0.82882804;0.3734804;0.30955103;0.00072224496;2561;25685;3;5;5;2;2;5;2;58;13
ESS10SCe03_1;10;03.янв;02.11.2023;11153;SE;1;1.0806781;0.3734804;0.4036121;0.00072224496;2558;26221;8;8;3;7;7;6666;1;41;12
ESS10SCe03_1;10;03.янв;02.11.2023;11197;SE;1;1.4910814;0.3734804;0.55688965;0.00072224496;2559;25183;7;7;10;6;6;6666;1;46;8
ESS10SCe03_1;10;03.янв;02.11.2023;11264;SE;1;1.3382909;0.3734804;0.49982545;0.00072224496;2564;26607;6;8;7;6;7;6666;1;43;10
ESS10SCe03_1;10;03.янв;02.11.2023;11294;SE;1;1.2484604;0.3734804;0.4662755;0.00072224496;2564;26555;9;9;9;7;8;6666;1;29;13
ESS10SCe03_1;10;03.янв;02.11.2023;11315;SE;1;0.4476178;0.3734804;0.16717649;0.00072224496;2564;26571;5;3;2;1;0;6666;1;80;2
ESS10SCe03_1;10;03.янв;02.11.2023;11357;SE;1;1.08162;0.3734804;0.40396386;0.00072224496;2561;25991;8;8;8;6;7;6666;2;37;18
ESS10SCe03_1;10;03.янв;02.11.2023;11364;SE;1;0.7595822;0.3734804;0.28368908;0.00072224496;2561;25673;5;7;8;3;3;6666;1;65;9
ESS10SCe03_1;10;03.янв;02.11.2023;11365;SE;1;2.31187;0.3734804;0.8634382;0.00072224496;2558;26219;6;2;2;5;6;7;2;44;1
ESS10SCe03_1;10;03.янв;02.11.2023;11381;SE;1;1.150684;0.3734804;0.42975792;0.00072224496;2563;26495;3;7;8;3;3;6666;1;43;7
ESS10SCe03_1;10;03.янв;02.11.2023;11395;SE;1;0.74856144;0.3734804;0.27957302;0.00072224496;2557;24502;5;4;8;4;4;6666;1;64;8
ESS10SCe03_1;10;03.янв;02.11.2023;11404;SE;1;0.49872133;0.3734804;0.18626265;0.00072224496;2559;25269;5;8;9;2;1;6666;1;68;3
ESS10SCe03_1;10;03.янв;02.11.2023;11425;SE;1;1.1564288;0.3734804;0.4319035;0.00072224496;2557;24705;7;6;6;3;3;6666;1;39;12
ESS10SCe03_1;10;03.янв;02.11.2023;11434;SE;1;0.6473872;0.3734804;0.24178644;0.00072224496;2563;26415;5;8;8;8;8;6666;2;82;14
ESS10SCe03_1;10;03.янв;02.11.2023;11455;SE;1;1.5023389;0.3734804;0.56109416;0.00072224496;2557;24607;6;4;7;6;6;2;2;52;5
